,name_en,desc_en,model_id,product_number,product_additional,product_number_source_type
0,Mi Smart Power Strip,Purple rice patch panel,zimi.powerstrip.v2,,,
1,Mi Smart Combo Washer Dryer 1S 10kg,JUMP Youth Edition+OTA+Xiaoai Internet,minij.washer.v11,,,
2,Wall switch single live wire double key version,,lumi.ctrl_neutral2.es1,,,
3,Yeelight Smart Bathroom Heater S20,Yeelight Smart Yuba S20 (spec),yeelink.bhf_light.v6,,,
4,Aqara Hub,,lumi.gateway.aqhm01,ZHWG11LM,,manual
5,NVC ceiling light,,nvc.light.c209,,,
6,One key single fire switch,,ghome.switch.sf001,,,
7,Smart curtain,,yuerzj.curtain.cm01,,,
8,Bijia Fresh Air Ventilator,Bijia new fan,szdy.airfresh.n80,,,
9,Mi TV,Xiaomi TV,xiaomi.tv.v1,,,
10,Mi Smart Baseboard Heater E,ESP32-WROOM-32U,zhimi.heater.ma3,TJXDNQ01ZM,,manual
11,plug_one,Single channel socket,coolki.plug.five,,,
12,Redmi TV,,xiaomi.tv.rmv1,,,
13,Dual control module,,lumi.ctrl_dualchn.v1,,,
14,Intelligent digital remote control socket,,zhijia.plug.dqcz02,,,
15,Dling Smart Video Doorbell C5,"Ding zero doorbell 1080p, battery version",madv.cateye.dlowlse2,,,
16,Viomi Refrigerator (French Door 345L),Profile protocol development access,viomi.fridge.u25,,,
17,Sumi Downlight Lite,,xhuan.light.wy0a02,,,
18,Cloud access curtain,Cloud access curtain,ezhome.curtain.yy0005,,,
19,Viomi Refrigerator (Cross Door 513L),MIoT-Spec protocol access,viomi.fridge.u44,,,
20,Yi Smart Webcam,YI Smart Camera,yunyi.camera.v1,,,
21,Viomi Electric Water Heater (50L),Yunmi Internet free replacement magnesium rod electric water heater 50L,viomi.waterheater.e13,,,
22,Desgeo amphibious ecological bottom filter fish tank,,hfjh.fishbowl.c500,,,
23,WinTom Curtain,"Chuangming smart curtains, one-key sunlight control!",wintom.curtain.230xm,,,
24,SmartCC,,heiman.curtain.hs2cc,,,
25,CWRGB bulb light,,ddwl.light.04000e,,,
26,IR Remote Add,Add infrared remote control,mijia.ir.add,,,
27,leshow humidifier is2,Motor type,leshow.humidifier.is2,,,
28,MomoDa AI Massage Chair,New massage chair,rotai.massage.rt5863,,,
29,"Aqara Wall Switch D1 (With Neutral, Single Rocker)","AQARA Wall Switch (Zero Fire Single Key Edition), Upgrade Switch Panel (Embedded Add Temperature Excessive Protection) ZB1.2, Press: Click the left button (action), click Right click (action).",lumi.switch.b1nacn02,QBKG23LM,Single Wall Switch D1,manual
30,Smart Light Switch (1-way),"LifeSmart streamer switch supports two-way communication and mobile phone remote control. The streamer switch can be controlled anytime and anywhere through the mobile phone, so as to control every electrical device connected to it, and it can also form linkage with other smart devices.",lfsmt.switch.ls055,,,
31,Three-wire two-way switch (2 way),Three-wire two-way switch (2 way),kuju.light.5202,,,
32,Honeywell Smart Formaldehyde Monitor,,yuemee.airmonitor.mhfd1,JQJCY01YM,,manual
33,baomi-air-purifier,air purifier,baomi.airpurifier.bmi,,,
34,MiniJ Smart Wall-mounted Washer,G1-MZB Pro,minij.washer.v12,,,
35,Mi Smart Multi-functional Kettle,,chunmi.health_pot.a1,,,
36,HUIZUO ARIES For Bedroom,Aries Star Bedroom Series by Hua Yihui,huayi.light.ari013,,,
37,China Mobile Smart Socket CMCC-X11,,cmcc.plug.x11,,,
38,iCool 2P,"erp code: 50.01.01.02.0045
69 yards: 6923185617105
Product model: KFRd-51LW/Y2RF1-A1",viomi.aircondition.y51,KFRd-51LW/Y2RF1-A1,,auto
39,HUIZUO VIRGO For Living Room,Huayihui virgin living room series-ZA,huayi.light.virgo,,,
40,Lifan Nordic Intelligent Lamp,Lifan Nordic Smart Light,hyzm.light.wymy1,,,
41,Mi air frying pan,,careli.fryer.maf01,,,
42,one gang smart switch,"Embedded zigbee standard protocol module, ultra-low power consumption, ultra-long standby, and high stability.Intelligent linkage of various scenes can automatically switch corresponding circuits according to environmental changes.",feibit.switch.tzsw21hb,,,
43,Smart Light Group,"Lamp group with [switch, brightness] function",mijia.light.group2,,,
44,Crown-71A,Small multi-unit KV-71V1,viomi.aircondition.v25,KV-71V1,,auto
45,Redmi TV,This TV is a Redmi TV with only infrared and no Bluetooth,xiaomi.tv.rmi1,,,
46,Danfino Intelligent Roof Suction Lamp,Danfino Smart Ceiling Lamp,jsc.light.wydfn1,,,
47,zigbee wall socket,,yuerzj.plug.zgsocket,,,
48,Cloud access to TV,Cloud access to TV,ezhome.tv.yy1002,,,
49,Qingping Temp & RH Monitor,8253,cgllc.sensor_ht.qpg1,,,
50,Viomi Smart IH Rice Cooker,Yunmi Internet Rice Cooker,viomi.cooker.v1,,,
51,JiPin Smart Heater,,jipin.heater.my204,,,
52,H intelligent double key switch (mesh),MESH Smart Switch,090615.switch.hmb022,,,
53,socket,,giz.plug.outlet,,,
54,Human body sensor,,cchome.motion.v1,,,
55,air conditioning,No certification trademark required,ihome.aircondition.eaac,,,
56,JX Smart bulb,,jxsoft.light.bump1,,,
