,pd_id,icon_on,icon_off,icon_offline,icon_smartconfig,icon_lock_screen_on,icon_lock_screen_off,icon_bluetooth_pairing,icon_real,icon_guidepic,icon_smartconfig_off,icon_336,pid,model,name,name_smartconfig,brand_name,desc_cn,subcategory_id,status,ios_status,model_regex,min_app_version,cate_name,inherit_id,change_time,rank,sc_type,sc_status,sc_type_more,sc_type_more_v2,sc_failed,ios_sc_visible,bind_confirm,fiveG_wifi,bt_rssi,bt_bind_style,bt_match,bt_is_secure,bt_gateway,mesh_gateway,permission_control,wexin_share,ct_offline_enter,op_history,voice_control,voice_ctrl_ed,infrared_gateway,zigbee_gateway,member_cnt,ios_asset,relations,resolve_type,link_rssi,name_cn,name_en,desc_en,metasubcategory_name,metacategory_name,product_number,product_number_source_type,product_additional
0,68888,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1588748180093MKvnYJfe.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=C4X30sXmk1LqJTR0iV70LUr59C8=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1588748180093MKvnYJfe.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=C4X30sXmk1LqJTR0iV70LUr59C8=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1588748180093MKvnYJfe.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=C4X30sXmk1LqJTR0iV70LUr59C8=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1588748180093MKvnYJfe.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=C4X30sXmk1LqJTR0iV70LUr59C8=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1588748180093MKvnYJfe.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=C4X30sXmk1LqJTR0iV70LUr59C8=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1588748180093MKvnYJfe.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=C4X30sXmk1LqJTR0iV70LUr59C8=,,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1588748180093MKvnYJfe.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=C4X30sXmk1LqJTR0iV70LUr59C8=,,,,0,yunmi.waterpuri.f3,Viomi Smart Water Purifier Fast3 (800G W),,,MIoT-Spec协议接入,66,3,3,,60160,Kitchen appliances,0,1603768367,0,0,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0,-45,,Viomi Smart Water Purifier Fast3 (800G W),MIoT-Spec protocol access,Water purifier,Kitchen appliances,,,
1,67498,https://static.home.mi.com/app/image/get/file/developer_1566465912c3xbjj4d.png,https://static.home.mi.com/app/image/get/file/developer_15664659152uwpiyr6.png,https://static.home.mi.com/app/image/get/file/developer_1566465917i1kjgpyu.png,,https://static.home.mi.com/app/image/get/file/developer_1566465919ivyo8mm5.png,https://static.home.mi.com/app/image/get/file/developer_1566465922fbop6hb7.png,,https://static.home.mi.com/app/image/get/file/developer_1566465910izfeefxz.png,,https://static.home.mi.com/app/image/get/file/developer_1566467115u44q4gbp.jpg,,0,viomi.fridge.x12,Viomi Smart Refrigerator 21 Face (T-type three doors 408L),,,云米互联网冰箱21Face (T型三门 408L),33,3,3,,60160,Kitchen appliances,0,1603768402,18,5,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0,-45,,Viomi Smart Refrigerator 21 Face (T-type three doors 408L),Yunmi Internet Refrigerator 21Face (T-shaped three-door 408L),Fridge,Kitchen appliances,,,
2,257,https://static.home.mi.com/app/image/get/file/developer_1471416244t1u28xbm.png,https://static.home.mi.com/app/image/get/file/common_image_1437379417b64fpda7.png,https://static.home.mi.com/app/image/get/file/common_image_1437379417b64fpda7.png,,https://static.home.mi.com/app/image/get/file/developer_14714162586qviz4yf.png,https://static.home.mi.com/app/image/get/file/developer_1471416268e4cb7mkl.png,,https://static.home.mi.com/app/image/get/file/developer_1551949479fw0235g4.png,,https://cdn.cnbj0.fds.api.mi-img.com/miio.files/commonfile_png_b0ec668695ea010e4551c902e43f3a4e.png,,0,chunmi.cooker.normal2,Mi IH Rice Cooker,,,,87,3,3,,60160,Kitchen appliances,0,1603768894,1,0,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,[],0,-45,,Mi IH Rice Cooker,,Rice cooker,Kitchen appliances,,,
3,1581,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15666169835058aj1aWaX.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=zR0bqjAuwN/KbEgNjHyh9EzKc50=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15666169835058aj1aWaX.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=zR0bqjAuwN/KbEgNjHyh9EzKc50=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15666169835058aj1aWaX.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=zR0bqjAuwN/KbEgNjHyh9EzKc50=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15666169835058aj1aWaX.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=zR0bqjAuwN/KbEgNjHyh9EzKc50=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15666169835058aj1aWaX.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=zR0bqjAuwN/KbEgNjHyh9EzKc50=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15666169835058aj1aWaX.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=zR0bqjAuwN/KbEgNjHyh9EzKc50=,,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15666169835058aj1aWaX.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=zR0bqjAuwN/KbEgNjHyh9EzKc50=,,,,8,leshi.switch.v002,Switch Breaker WIFI X,,,开关通断器WIFI X版,161,3,3,,60160,Other,0,1603768349,8,3,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,[],1,-45,,Switch Breaker WIFI X,Switch on-off device WIFI X version,Switch,Home security,,,
4,67792,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15741277411457ICDKgnA.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=J0cHlyutnyptY34JTVnK9w28EGw=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15741277411457ICDKgnA.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=J0cHlyutnyptY34JTVnK9w28EGw=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15741277411457ICDKgnA.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=J0cHlyutnyptY34JTVnK9w28EGw=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15741277411457ICDKgnA.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=J0cHlyutnyptY34JTVnK9w28EGw=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15741277411457ICDKgnA.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=J0cHlyutnyptY34JTVnK9w28EGw=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15741277411457ICDKgnA.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=J0cHlyutnyptY34JTVnK9w28EGw=,,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15741277411457ICDKgnA.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=J0cHlyutnyptY34JTVnK9w28EGw=,,,,14,konke2.plug.minipr,MINI PRO插座,,,支持插座开关、定时、延时,4,3,3,,60160,Home security,0,1603768703,0,5,0,[],[],0,False,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],-1,-45,MINI PRO插座,MINI PRO socket,"Support socket switch, timing, delay",Power outlet,Home security,,,
5,67805,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15762301902096INnC130.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=E6FPctEZ20xtKUeKYF8a0vodiiY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15762301902096INnC130.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=E6FPctEZ20xtKUeKYF8a0vodiiY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15762301902096INnC130.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=E6FPctEZ20xtKUeKYF8a0vodiiY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15762301902096INnC130.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=E6FPctEZ20xtKUeKYF8a0vodiiY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15762301902096INnC130.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=E6FPctEZ20xtKUeKYF8a0vodiiY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15762301902096INnC130.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=E6FPctEZ20xtKUeKYF8a0vodiiY=,,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_15762301902096INnC130.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=E6FPctEZ20xtKUeKYF8a0vodiiY=,,,,0,hfjh.fishbowl.v1,Desgeo smart fishbowl,,,,226,3,3,,60160,Other,0,1603768434,0,0,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0,-45,,Desgeo smart fishbowl,,Smart fish tank,Other,,,
6,68700,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1592557191284k8b6wloD.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=5igpK8CCAt+kx/Qyrf8iUH86zFY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1592557191284k8b6wloD.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=5igpK8CCAt+kx/Qyrf8iUH86zFY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1592557191284k8b6wloD.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=5igpK8CCAt+kx/Qyrf8iUH86zFY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1592557191284k8b6wloD.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=5igpK8CCAt+kx/Qyrf8iUH86zFY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1592557191284k8b6wloD.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=5igpK8CCAt+kx/Qyrf8iUH86zFY=,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1592557191284k8b6wloD.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=5igpK8CCAt+kx/Qyrf8iUH86zFY=,,https://cdn.cnbj1.fds.api.mi-img.com/iotweb-product-center/developer_1592557191284k8b6wloD.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=5igpK8CCAt+kx/Qyrf8iUH86zFY=,,,,0,dooya.curtain.m5,Dooya Curtain,,,,13,3,3,,60160,Home security,0,1603768535,0,0,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0,-45,,Dooya Curtain,,Curtain,Home security,,,
7,2479,https://static.home.mi.com/app/image/get/file/developer_1583399797s79gu0t9.png,https://static.home.mi.com/app/image/get/file/developer_1583399797s79gu0t9.png,https://static.home.mi.com/app/image/get/file/developer_1583399797s79gu0t9.png,https://static.home.mi.com/app/image/get/file/developer_1583399797s79gu0t9.png,https://static.home.mi.com/app/image/get/file/developer_1583399797s79gu0t9.png,https://static.home.mi.com/app/image/get/file/developer_1583399797s79gu0t9.png,,https://static.home.mi.com/app/image/get/file/developer_1583399797s79gu0t9.png,,https://static.home.mi.com/app/image/get/file/developer_15834004699u0stcej.png,,8,chunmi.oven.steam30lv1,Mi Smart Steam Oven,,,,165,3,3,,60160,Other,0,1603768896,0,0,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,[],1,-45,,Mi Smart Steam Oven,,Steam oven,Other,,,
8,69516,https://cnbj1.fds.api.xiaomi.com/iotweb-product-center/c3185556038381302f156a1acae79156_juanlian168.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=0CPL+8hhBOD3Go5e5Vr1BT4HGBg=,https://cnbj1.fds.api.xiaomi.com/iotweb-product-center/c3185556038381302f156a1acae79156_juanlian168.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=0CPL+8hhBOD3Go5e5Vr1BT4HGBg=,https://cnbj1.fds.api.xiaomi.com/iotweb-product-center/c3185556038381302f156a1acae79156_juanlian168.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=0CPL+8hhBOD3Go5e5Vr1BT4HGBg=,https://cnbj1.fds.api.xiaomi.com/iotweb-product-center/c3185556038381302f156a1acae79156_juanlian168.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=0CPL+8hhBOD3Go5e5Vr1BT4HGBg=,https://cnbj1.fds.api.xiaomi.com/iotweb-product-center/c3185556038381302f156a1acae79156_juanlian168.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=0CPL+8hhBOD3Go5e5Vr1BT4HGBg=,https://cnbj1.fds.api.xiaomi.com/iotweb-product-center/c3185556038381302f156a1acae79156_juanlian168.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=0CPL+8hhBOD3Go5e5Vr1BT4HGBg=,,https://cnbj1.fds.api.xiaomi.com/iotweb-product-center/c3185556038381302f156a1acae79156_juanlian168.png?GalaxyAccessKeyId=AKVGLQWBOVIRQ3XLEW&Expires=9223372036854775807&Signature=0CPL+8hhBOD3Go5e5Vr1BT4HGBg=,,,,0,syniot.curtain.m1,synIOT rolling motor,,,电动卷帘控制器,13,3,3,,60160,Home security,0,1606877218,0,0,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0,-45,,synIOT rolling motor,Electric roller shutter controller,Motorized curtain,Home security,,,
9,66801,https://static.home.mi.com/app/image/get/file/developer_1562116221rihktzvf.png,https://static.home.mi.com/app/image/get/file/developer_1562116226w5md7v4b.png,https://static.home.mi.com/app/image/get/file/developer_1562116229zaj0jbwt.png,,https://static.home.mi.com/app/image/get/file/developer_15621162351zxy2ykl.png,https://static.home.mi.com/app/image/get/file/developer_1562116239p1ptz75n.png,,https://static.home.mi.com/app/image/get/file/developer_156211621715fdn2i1.png,,https://static.home.mi.com/app/image/get/file/developer_1562292521xs400fcq.png,,0,viomi.vacuum.v7,Mi Robot Vacuum-Mop P,,,米家国内扫拖机机,113,3,3,,60160,Environment appliances,0,1603768427,2,0,3,[],[],0,True,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,[],0,-45,,Mi Robot Vacuum-Mop P,Mijia domestic sweeping machine,Robot vacuum,Environment appliances,,,
