,model_id,product_number,product_number_source_type,product_additional
0,lumi.sensor_magnet.v1,MCCGQ01LM,manual,
1,lumi.sensor_motion.aq2,RTCGQ11LM,manual,
2,chuangmi.plug.m1,ZNCZ02CM,manual,
3,lumi.curtain.hagl04,ZNCLDJ12LM,manual,
4,chuangmi.plug.v1,ZNCZ05CM/GMR4015GL/X22002,manual,
5,lumi.remote.b1acn01,WXKG11LM,manual,"action types: single, double, triple, quad"
6,lumi.switch.b2laus01,WS-USC02,manual,
7,lumi.switch.b1lacn02,QBKG21LM,manual,
8,chuangmi.plug.v3,ZNCZ03CM/GMR4007CN,manual,
9,lumi.ctrl_86plug.aq1,QBCZ11LM,manual,
10,lumi.sensor_magnet.aq2,MCCGQ11LM,manual,
11,lumi.sensor_86sw1.v1,WXKG03LM,manual,2016 rev1
12,lumi.sen_ill.mgl01,GZCGQ01LM,manual,
13,lumi.switch.b2lacn02,QBKG22LM,manual,
14,lumi.switch.b1nacn02,QBKG23LM,manual,
15,lumi.sensor_cube.aqgl01,MFKZQ01LM,manual,
16,viomi.juicer.v2,VBH122,manual,
17,lumi.lock.v1,A6121,manual,
18,yeelink.light.bslamp2,MJCTD02YL,manual,
19,lumi.remote.b186acn01,WXKG03LM,manual,2018 rev 2
20,lumi.light.rgbac1,ZNTGMK11LM,manual,
21,lumi.ctrl_ln1.aq1,QBKG11LM,manual,
22,lumi.sensor_switch.v2,WXKG01LM,manual,
23,lumi.switch.n3acn3,QBKG26LM,manual,
24,lumi.light.cwjwcn01,JWSP001A,manual,
25,lumi.ctrl_neutral2.v1,QBKG03LM,manual,
26,lumi.switch.l3acn3,QBKG25LM,manual,
27,miaomiaoce.sensor_ht.t1,LYWSD03MMC/NUN4126GL,manual,
28,lumi.vibration.aq1,DJT11LM,manual,
29,chuangmi.plug.m3,ZNCZ04CM/GMR4012CN,manual,
30,lumi.sensor_switch.aq3,WXKG12LM ,manual,
31,lumi.sensor_smoke.v1,JTYJ-GD-01LM/BW,manual,
32,lumi.switch.b1laus01,WS-USC01,manual,
33,lumi.light.cbacn1,HLQDQ01LM,manual,
34,lumi.light.aqcn02,ZNLDP12LM,manual,
35,chuangmi.plug.v2,ZNCZ02LM,manual,
36,lumi.light.cwopcn03,XDD13LM,manual,
37,lumi.ctrl_neutral1.v1,QBKG04LM,manual,
38,lumi.sensor_motion.v2,RTCGQ01LM,manual,
39,zhimi.airpurifier.ma2,AC-M4-AA,manual,
40,lumi.remote.b186acn02,WXKG06LM,manual,
41,lumi.sensor_switch.aq2,WXKG11LM,manual,"action types: single, double, hold, release"
42,lumi.remote.b286acn01,WXKG02LM,manual,2018 rev 2
43,zhimi.airpurifier.ma1,AC-M4-AA,manual,
44,lumi.lock.acn02,ZNMS12LM,manual,
45,lumi.plug.mmeu01,ZNCZ04LM,manual,EU
46,isa.magnet.dw2hl,MCCGQ02HL,manual,
47,lumi.plug.maus01,ZNCZ12LM,manual,
48,zhimi.airpurifier.mb3,FJY4031GL,manual,
49,lumi.plug.mitw01,ZNCZ03LM,manual,Taiwan
50,chuangmi.plug.hmi206,ZNCZ07CM,manual,
51,zhimi.airpurifier.mc1,FJY4020GL,manual,
52,chuangmi.plug.hmi205,ZNCZ06CM,manual,
53,zhimi.airpurifier.mc2,FJY4026GL,manual,
54,lumi.plug.maeu01,SP-EUC01,manual,EU
55,lumi.remote.b686opcn01,WXCJKG13LM,manual,
56,lumi.switch.n0agl1,SSM-U01,manual,
57,lumi.switch.l0agl1,SSM-U02,manual,
58,lumi.motion.agl04,RTCGQ13LM,manual,
59,lumi.remote.b1acn02,WXKG13LM,manual,
60,lumi.switch.l2aeu1,WS-EUK02,manual,
61,lumi.curtain.v1,,manual,?
62,lumi.sensor_cube.v1,,manual,?
63,lumi.sensor_motion.v1,,manual,?
64,lumi.sensor_ht.v1,WSDCGQ01LM,manual,
65,cleargrass.sensor_ht.dk1,CGG1,manual,
66,lumi.remote.b286acn02,WXKG07LM,manual,
67,lumi.airrtc.tcpecn02,KTWKQ03ES,manual,Aqara x Eigenstone S2 Thermostat
68,lumi.curtain.aq2,ZNCLDJ11LM,manual,
69,lumi.sensor_natgas.v1,JTQJ-BF-01LM/BW,manual,
70,lumi.lock.aq1,ZNMS11LM,manual,
71,viomi.juicer.v1,MJPBJ01YM,manual,
72,lumi.switch.b2nacn02,QBKG24LM,manual,
73,lumi.relay.c2acn01,LLKZMK11LM,manual,
74,lumi.sensor_wleak.aq1,SJCGQ11LM,manual,
75,lumi.remote.b486opcn01,WXCJKG12LM,manual,
76,lumi.weather.v1,WSDCGQ11LM,manual,
77,lumi.light.cwopcn02,XDD12LM,manual,
78,lumi.sensor_86sw2.v1,WXKG02LM,manual,2016 rev1
79,lumi.light.cwjwcn02,JWDL001A,manual,
80,tinymu.toiletlid.v1,ZWC1647-A01,manual,
81,lumi.ctrl_ln2.v1,QBKG12LM,manual,
82,lumi.lock.acn03,ZNMS13LM,manual,
